INFO     | 2020-05-04 20:10:03,908 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2020-05-04 20:10:03,915 | config     | Setting 'alignment' to 'concatenated.out'
INFO     | 2020-05-04 20:10:03,915 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2020-05-04 20:10:03,916 | parser     | You set 'models' to: GTR+G
INFO     | 2020-05-04 20:10:03,970 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2020-05-04 20:10:03,971 | model_load | GTR+G
INFO     | 2020-05-04 20:10:03,971 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2020-05-04 20:10:04,012 | config     | Setting 'search' to 'greedy'
INFO     | 2020-05-04 20:10:04,012 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2020-05-04 20:10:04,012 | config     | Looking for alignment file './concatenated.out'...
ERROR    | 2020-05-04 20:10:04,012 | util       | Failed to find file: './concatenated.out'. Please check and try again.
ERROR    | 2020-05-04 20:10:04,013 | main       | Failed to run. See previous errors.
INFO     | 2020-05-04 20:10:53,513 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2020-05-04 20:10:53,519 | config     | Setting 'alignment' to 'concatenated.out'
INFO     | 2020-05-04 20:10:53,519 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2020-05-04 20:10:53,519 | parser     | You set 'models' to: GTR+G
INFO     | 2020-05-04 20:10:53,534 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2020-05-04 20:10:53,534 | model_load | GTR+G
INFO     | 2020-05-04 20:10:53,534 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2020-05-04 20:10:53,537 | config     | Setting 'search' to 'greedy'
INFO     | 2020-05-04 20:10:53,537 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2020-05-04 20:10:53,537 | config     | Looking for alignment file './concatenated.out'...
ERROR    | 2020-05-04 20:10:53,538 | util       | Failed to find file: './concatenated.out'. Please check and try again.
ERROR    | 2020-05-04 20:10:53,538 | main       | Failed to run. See previous errors.
INFO     | 2020-05-04 20:12:17,460 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2020-05-04 20:12:17,467 | config     | Setting 'alignment' to 'concatenated.out'
INFO     | 2020-05-04 20:12:17,467 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2020-05-04 20:12:17,468 | parser     | You set 'models' to: GTR+G
INFO     | 2020-05-04 20:12:17,504 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2020-05-04 20:12:17,504 | model_load | GTR+G
INFO     | 2020-05-04 20:12:17,504 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2020-05-04 20:12:17,509 | config     | Setting 'search' to 'greedy'
INFO     | 2020-05-04 20:12:17,509 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2020-05-04 20:12:17,510 | config     | Looking for alignment file './concatenated.out'...
INFO     | 2020-05-04 20:12:17,516 | threadpool | Using 4 cpus
INFO     | 2020-05-04 20:12:17,516 | analysis   | Beginning Analysis
INFO     | 2020-05-04 20:12:17,569 | alignment  | Reading alignment file './concatenated.out'
INFO     | 2020-05-04 20:12:17,573 | analysis   | Starting tree will be estimated from the data.
INFO     | 2020-05-04 20:12:17,574 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2020-05-04 20:12:17,574 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2020-05-04 20:12:18,065 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2020-05-04 20:12:18,317 | raxml      | ML topology estimation finished
INFO     | 2020-05-04 20:12:18,318 | analysis_m | Performing Greedy Analysis
INFO     | 2020-05-04 20:12:18,318 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2020-05-04 20:12:18,546 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2020-05-04 20:12:18,622 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2020-05-04 20:12:18,687 | progress   |       Finished subset 3/3, 100.00 percent done
