name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,15323,-59535.57,1638,63,122347.14,122739.52,134856.73
step_1,15323,-59541.45,1612,62,122306.90,122686.21,134617.93
step_2,15323,-59547.48,1586,61,122266.96,122633.44,134379.42
step_3,15323,-59554.12,1560,60,122228.24,122582.13,134142.13
step_4,15323,-59561.20,1534,59,122190.40,122531.96,133905.73
step_5,15323,-59568.75,1508,58,122153.50,122482.96,133670.26
step_6,15323,-59576.33,1482,57,122116.66,122434.27,133434.86
step_7,15323,-59584.73,1456,56,122081.45,122387.44,133201.08
step_8,15323,-59593.62,1430,55,122047.24,122341.84,132968.31
step_9,15323,-59602.85,1404,54,122013.70,122297.16,132736.20
step_10,15323,-59612.36,1378,53,121980.71,122253.27,132504.65
step_11,15323,-59622.23,1352,52,121948.46,122210.34,132273.83
step_12,15323,-59632.13,1326,51,121916.25,122167.70,132043.06
step_13,15323,-59642.10,1300,50,121884.20,122125.44,131812.44
step_14,15323,-59652.60,1274,49,121853.20,122084.46,131582.88
step_15,15323,-59663.16,1248,48,121822.32,122043.83,131353.43
step_16,15323,-59674.17,1222,47,121792.33,122004.32,131124.88
step_17,15323,-59685.32,1196,46,121762.63,121965.32,130896.62
step_18,15323,-59696.62,1170,45,121733.25,121926.87,130668.67
step_19,15323,-59708.10,1144,44,121704.21,121888.98,130441.06
step_20,15323,-59719.72,1118,43,121675.45,121851.60,130213.74
step_21,15323,-59729.82,1092,42,121643.64,121811.39,129983.36
step_22,15323,-59742.42,1066,41,121616.85,121776.42,129758.01
step_23,15323,-59755.17,1040,40,121590.33,121741.94,129532.93
step_24,15323,-59767.25,1014,39,121562.50,121706.36,129306.52
step_25,15323,-59780.30,988,38,121536.60,121672.94,129082.07
step_26,15323,-59793.80,962,37,121511.60,121640.63,128858.50
step_27,15323,-59806.03,936,36,121484.06,121605.99,128632.39
step_28,15323,-59822.92,910,35,121465.84,121580.88,128415.61
step_29,15323,-59838.98,884,34,121445.97,121554.34,128197.17
step_30,15323,-59855.03,858,33,121426.07,121527.98,127978.71
step_31,15323,-59872.98,832,32,121409.95,121505.61,127764.03
step_32,15323,-59889.12,806,31,121390.23,121479.85,127545.74
step_33,15323,-59905.65,780,30,121371.29,121455.07,127328.24
step_34,15323,-59923.34,754,29,121354.68,121432.84,127113.07
step_35,15323,-59941.23,728,28,121338.46,121411.19,126898.27
step_36,15323,-59960.03,702,27,121324.07,121391.58,126685.32
step_37,15323,-59979.05,676,26,121310.09,121372.59,126472.78
step_38,15323,-59999.64,650,25,121299.27,121356.95,126263.39
step_39,15323,-60019.44,624,24,121286.89,121339.96,126052.45
step_40,15323,-60041.56,598,23,121279.11,121327.77,125846.10
step_41,15323,-60062.46,572,22,121268.91,121313.35,125637.34
step_42,15323,-60083.08,546,21,121258.16,121298.59,125428.03
step_43,15323,-60105.02,520,20,121250.05,121286.65,125221.35
step_44,15323,-60126.87,494,19,121241.73,121274.71,125014.46
step_45,15323,-60149.05,468,18,121234.10,121263.65,124808.27
step_46,15323,-60175.10,442,17,121234.20,121260.52,124609.80
step_47,15323,-60202.80,416,16,121237.60,121260.88,124414.64
